dataset oBMM CCCP LSPN ID-SPN RAT-SPN sEM Adam SGD
nltcs -6.07 -6.03 -6.11 -6.02 -6.01 -6.02 -6.04 -6.17
msnbc -6.03 -6.04 -6.11 -6.04 -6.04 -6.12 -6.03 -6.41
kdd-2k -2.14 -2.13 -2.18 -2.13 -2.13 -2.18 -2.15 -2.16
plants -15.14 -12.87 -12.98 -12.54 -13.44 -13.68 -13.74 -17.90
jester -53.86 -52.88 -53.48 -52.86 -52.97 -52.56 -53.10 -54.34
audio -40.70 -40.02 -40.50 -39.79 -39.96 -39.88 -40.22 -42.09
netflix -57.99 -56.78 -57.33 -56.36 -56.85 -56.54 -57.10 -59.19
accidents -42.66 -27.70 -30.04 -26.98 -35.49 -35.59 -37.45 -42.10
retail -11.42 -10.92 -11.04 -10.85 -10.91 -10.92 -10.97 -11.40
pbstar -45.27 -24.23 -24.78 -22.40 -32.53 -31.95 -39.23 -48.33
dna -99.61 -84.92 -82.52 -81.21 -97.23 -96.09 -97.68 -100.38
kosarek -11.22 -10.88 -10.99 -10.60 -10.89 -11.03 -10.92 -11.36
msweb -11.33 -9.97 -10.25 -9.73 -10.12 -10.03 -10.26 -11.30
book -35.55 -35.01 -35.89 -34.14 -34.68 -34.74 -35.15 -36.10
movie -59.50 -52.56 -52.49 -51.51 -53.63 -51.70 -55.49 -65.17
web-kb -165.57 -157.49 -158.20 -151.84 -157.53 -157.28 -160.51 -173.21
r52 -108.01 -84.63 -85.07 -83.35 -87.37 -87.37 -92.76 -103.45
20ng -158.01 -153.21 -155.93 -151.47 -152.06 -153.94 -154.41 -160.05
bbc -275.43 -248.60 -250.69 -248.93 -252.14 -248.33 -267.86 -275.72
ad -63.81 -27.20 -19.73 -19.05 -48.47 -26.27 -63.82 -64.31
